"name","brand","ean","price","grammage","category","sale","image"
"Glade Touch & Fresh Minispray Halter Fresh Lemon","Glade","5000204075892","2.29","10ml (1 l = 229 €)","Haus & Freizeit","False","https://img.rewe-static.de/8277074/29117234_digital-image.png"
"Glade Duftkerze Anti-Tabac 112g","Glade","5000204356380","3.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9103253/45443334_digital-image.png"
"Frosch Oase Raumerfrischer Zitronengras Nachfüllpack 90ml","Frosch","4001499116896","3.49","90ml (1 l = 38,78 €)","Haus & Freizeit","False","https://img.rewe-static.de/1236127/23393589_digital-image.png"
"Edding Permanentmarker 3000 Schwarz","Edding","4004764100798","2.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/0159700/27187875_digital-image.png"
"Febreze Lufterfrischer Madagaskar Vanille & Magnolie 185ml","Febreze","8700216287876","3.99","185ml (1 l = 21,57 €)","Haus & Freizeit","False","https://img.rewe-static.de/9060813/43044510_digital-image.png"
"Aeroxon Fliegenfänger 4 Stück","Aeroxon","40276908","1.79","4 Stück","Haus & Freizeit","False","https://img.rewe-static.de/3726959/7389130_digital-image.png"
"Vivess Gummiringe bunt 100stk","Vivess","4388844253490","1.99","100 Stück","Haus & Freizeit","False","https://img.rewe-static.de/2834031/31617664_digital-image.png"
"ESN Shaker Transparent 600ml","ESN","4250519611303","5.99","106g","Haus & Freizeit","False","https://img.rewe-static.de/3447904/43674617_digital-image.png"
"Grill Holz Kohle 2,5kg","NA","4004216000577","3.49","2,50kg (1 kg = 1,40 €)","Haus & Freizeit","False","https://img.rewe-static.de/7228762/27661992_digital-image.png"
"Aeroxon Lebensmittelmotten-Falle 2 Stück","Aeroxon","4027600444405","3.99","2 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9533281/1160440_digital-image.png"
"Vivess Kugelschreiber 4 Stück","Vivess","4388858914417","3.99","4 Stück","Haus & Freizeit","False","https://img.rewe-static.de/1042127/20643224_digital-image.png"
"Vivess Heft 26 Kariert mit Rand A4 16 Blatt","Vivess","4015291007269","0.79","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/2854680/31100058_digital-image.png"
"Vivess Pinsel Set 5 teilig","Vivess","4388844253582","1.49","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/2834133/31505747_digital-image.png"
"Aeroxon Kleidermotten-Falle","Aeroxon","4027600234402","4.99","2 Stück","Haus & Freizeit","False","https://img.rewe-static.de/2641461/23393597_digital-image.png"
"REWE Beste Wahl Raumduft Granatapfel & Orange 75ml","REWE Beste Wahl","4388860051704","1.79","75ml (1 l = 23,87 €)","Haus & Freizeit","False","https://img.rewe-static.de/7143216/27666293_digital-image.png"
"Vivess Geodreieck 16cm","Vivess","4388844191563","1.79","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/2499011/24479081_digital-image.png"
"Glade Duftkerze Bubbly Berry Splash 112g","Glade","5000204356502","3.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7571856/44653113_digital-image.png"
"Varta E-Block Batterie High-Energy 9V","Varta","4008496559862","6.49","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/3561682/12157090_digital-image.png"
"Vivess Grablicht rot mit Deckel","Vivess","4337256759519","0.89","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9027936/42302097_digital-image.png"
"Air Wick Duftstecker + Nachfüller Kirschblüte & Himbeere 19ml","Air Wick","4251758433725","5.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9863272/50088180_digital-image.png"
